source	target	Rho
otu_661	otu_383	0.999943747181949
otu_608	otu_91	0.999906179905028
otu_497	otu_72	0.999735584347056
otu_850	otu_157	0.999734628109307
otu_863	otu_12	0.999539392655683
otu_270	otu_125	0.99944848421964
otu_444	otu_67	0.999397393710838
otu_883	otu_718	0.999348071748638
otu_773	otu_512	0.999318605569014
otu_719	otu_121	0.999176336323809
otu_691	otu_519	0.999045089851735
otu_885	otu_432	0.99885963021356
otu_814	otu_119	0.998858731474361
otu_670	otu_90	0.998769487243855
otu_280	otu_48	0.99873309023445
otu_397	otu_193	0.998701287841618
otu_382	otu_317	0.998528071711642
otu_881	otu_160	0.998398235654757
otu_782	otu_748	0.998385294028206
otu_818	otu_322	0.998377391780704
otu_306	otu_115	0.998337621710377
otu_759	otu_482	0.998139218116162
otu_573	otu_536	0.998067137733596
otu_161	otu_1	0.998035114056981
otu_814	otu_322	0.997899948590063
otu_643	otu_346	0.997754634522466
otu_322	otu_119	0.997525483816273
otu_588	otu_417	0.997249969459809
otu_386	otu_234	0.997238583742093
otu_850	otu_742	0.99706043930211
otu_432	otu_72	0.997005601138256
otu_430	otu_160	0.99698930958705
otu_329	otu_68	0.996748815361394
otu_881	otu_430	0.996660198281972
otu_744	otu_237	0.996584960177904
otu_742	otu_157	0.996576571559025
otu_489	otu_80	0.995960866707629
otu_497	otu_432	0.995769270585389
otu_270	otu_201	0.995407247294923
otu_204	otu_190	0.994787006376631
otu_622	otu_500	0.994628040273758
otu_382	otu_356	0.994476980831297
otu_818	otu_119	0.99421063529536
otu_337	otu_160	0.994120874781581
otu_808	otu_730	0.994097007488899
otu_356	otu_317	0.993988443160946
otu_300	otu_74	0.993671003120178
otu_629	otu_543	0.993527049451531
otu_885	otu_72	0.992928281326709
otu_818	otu_814	0.992909548803559
otu_508	otu_116	0.992772223341603
otu_797	otu_660	0.992647850823102
otu_53	otu_38	0.992618504650292
otu_830	otu_32	0.99252358884069
otu_881	otu_337	0.992088975979417
otu_701	otu_157	0.992015226013974
otu_201	otu_125	0.991807309110682
otu_885	otu_497	0.991759457394486
otu_744	otu_670	0.991566457253882
otu_744	otu_90	0.991408946967355
otu_430	otu_337	0.990988804470666
otu_763	otu_640	0.990881075293406
otu_587	otu_39	0.990769019504543
otu_577	otu_409	0.990753097659326
otu_862	otu_848	0.990736397153472
otu_655	otu_4	0.990723559691031
otu_346	otu_306	0.990589968131815
otu_415	otu_406	0.990519557207836
otu_727	otu_31	0.990308088604555
otu_237	otu_90	0.98959722890236
otu_691	otu_510	0.989397501908173
otu_670	otu_237	0.989325552270438
otu_346	otu_115	0.989056292173851
otu_850	otu_701	0.988867862262956
otu_808	otu_761	0.988812715425983
otu_621	otu_352	0.986993905383852
otu_493	otu_12	0.986736240700671
otu_898	otu_545	0.986725436950909
otu_116	otu_80	0.986242019464433
otu_863	otu_493	0.985627298842708
otu_763	otu_209	0.985496651536719
otu_175	otu_125	0.985349197959666
otu_508	otu_80	0.985217862749433
otu_270	otu_175	0.985115582035983
otu_801	otu_727	0.984797532708457
otu_346	otu_154	0.984232417581729
otu_860	otu_183	0.984000409709029
otu_643	otu_115	0.983922188888808
otu_519	otu_510	0.983816059892548
otu_306	otu_154	0.983548913549269
otu_742	otu_701	0.983442820298699
otu_643	otu_306	0.982862727345406
otu_801	otu_31	0.982184388481174
otu_245	otu_125	0.981978703602898
otu_640	otu_209	0.981812332792001
otu_508	otu_489	0.980446256383085
otu_201	otu_175	0.980436045286001
otu_154	otu_115	0.980299703085401
otu_763	otu_224	0.979670157550883
otu_270	otu_245	0.979539640755317
otu_875	otu_520	0.979231024927502
otu_489	otu_116	0.97909860467335
otu_643	otu_154	0.978653432937699
otu_531	otu_29	0.976800482810892
otu_802	otu_574	0.976621200061428
otu_848	otu_344	0.975355536937888
otu_813	otu_234	0.974632791288137
otu_808	otu_66	0.97235731839423
otu_761	otu_730	0.972005381096328
otu_734	otu_3	0.970511930731131
otu_813	otu_386	0.968546508345943
otu_224	otu_209	0.967980088114035
otu_730	otu_66	0.967967003836661
otu_245	otu_175	0.966596469351439
otu_862	otu_344	0.965593542766025
otu_635	otu_312	0.965218194189475
otu_245	otu_201	0.964786233567262
otu_640	otu_224	0.96321272510099
otu_762	otu_731	0.963146340376212
otu_754	otu_356	0.962030732602387
otu_131	otu_91	0.954850399043408
otu_754	otu_382	0.952196712743353
